City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
9,Hilo,US,78.8,19.7297,-155.09,Hilo Hawaiian Hotel
15,Saint-Philippe,RE,77.0,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
18,Puerto%20Ayora,EC,75.99,-0.7393,-90.3518,Finch Bay Galapagos Hotel
20,Arraial%20Do%20Cabo,BR,78.8,-22.9661,-42.0278,Pousada Porto Praia
22,Pisco,PE,75.2,-13.7,-76.2167,Hotel San Isidro Oficial
28,Rikitea,PF,81.81,-23.1203,-134.9692,Pension Maro'i
31,Hithadhoo,MV,83.91,-0.6,73.0833,Scoop Guest House
45,Manta,EC,82.4,-0.95,-80.7333,Balandra Hotel
46,Kununurra,AU,84.2,-15.7667,128.7333,Hotel Kununurra
48,Gamboma,CG,77.07,-1.8764,15.8644,Residence N'Keni
49,Presidencia%20Roque%20Saenz%20Pena,AR,77.0,-26.7852,-60.4388,Hotel Gualok
56,Harper,LR,79.43,4.375,-7.7169,Screensaver
58,Vaini,TO,84.2,-21.2,-175.2,Keleti Beach Resort
61,Kaeo,NZ,78.01,-35.1,173.7833,Bushido Lodge
65,Sampues,CO,77.23,9.1836,-75.3817,Blanco Y Negro
72,Lorengau,PG,83.91,-2.0226,147.2712,Lorengau Harbourside Hotel
77,Vao,NC,77.38,-22.6667,167.4833,Hotel Kou-Bugny
85,Nabire,ID,80.06,-3.3667,135.4833,Hotel Nusantara Nabire
88,Teocaltiche,MX,84.2,21.4333,-102.5833,Hotel los Caxcanes
94,Talara,PE,77.23,-4.5772,-81.2719,Hostal Oro Negro
96,Souillac,MU,75.2,-20.5167,57.5167,Shanti Maurice Resort & Spa
97,Alofi,NU,84.2,-19.0595,-169.9187,Taloa Heights
99,Georgetown,MY,80.6,5.4112,100.3354,Cititel Penang
101,Mahebourg,MU,75.2,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
106,Cayenne,GF,79.0,4.9333,-52.3333,Hôtel Le Dronmi
108,Wahiawa,US,80.6,21.5028,-158.0236,Aloha Wahiawa
110,Bathsheba,BB,78.8,13.2167,-59.5167,Atlantis Hotel
115,Takoradi,GH,79.86,4.8845,-1.7554,Raybow International Hotel
121,Chabahar,IR,76.14,25.2919,60.643,هتل گدروشیا
124,Songkhla,TH,78.8,6.8333,100.6667,น.ส ซัลมา สาแม็ง
125,Bajil,YE,77.92,15.0584,43.2851,شبكة ماكس نت MAX WIFI
127,Veraval,IN,75.51,20.9,70.3667,Lords Inn Somnath
129,Ambilobe,MG,75.74,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
136,Sibolga,ID,76.24,1.7427,98.7792,Hotel Syariah CN Darussalam
137,Cabo%20San%20Lucas,MX,77.0,22.8909,-109.9124,Hotel Tesoro Los Cabos
143,Atuona,PF,79.99,-9.8,-139.0333,Villa Enata
146,Isangel,VU,86.0,-19.55,169.2667,Volcano Sea View Tree House
150,Carnarvon,AU,75.2,-24.8667,113.6333,Hospitality Carnarvon
151,Salvador,SV,84.2,13.8333,-88.9167,Chico's Ranch
154,Auki,SB,79.66,-8.7676,160.7034,Auki Motel
156,Kingaroy,AU,82.99,-26.5333,151.8333,Ascot Lodge Motel Kingaroy
159,Tahoua,NE,77.0,14.8888,5.2692,Bungalows Guesthouse
161,Caravelas,BR,75.02,-17.7125,-39.2481,Pousada dos Navegantes
170,Faanui,PF,83.73,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
171,Jaguarari,BR,75.56,-10.2639,-40.1958,Hotel Quintal De Casa
174,Mana,GF,77.7,5.6592,-53.7767,LE SAMANA
176,Imbituba,BR,75.2,-28.24,-48.6703,Praia Hotel Imbituba
184,Morant%20Bay,JM,80.6,17.8815,-76.4093,Whispering Bamboo Cove Resort
186,Trairi,BR,80.06,-3.2778,-39.2689,janelas do mar
188,Pochutla,MX,84.2,15.7432,-96.4661,Hotel Posada San Jose
189,Avarua,CK,84.2,-21.2078,-159.775,Paradise Inn
196,Sambava,MG,75.49,-14.2667,50.1667,Melrose
197,Kahului,US,80.6,20.8947,-156.47,Maui Seaside Hotel
198,San%20Juan%20De%20Abajo,MX,75.2,20.8167,-105.1833,Lorenzo Anaya
199,Manokwari,ID,82.96,-0.8667,134.0833,Swiss Belhotel Manokwari
