City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hobart,AU,2021-03-05 00:21:47,-42.8794,147.3294,55.99,54,75,17.27
1,New%20Norfolk,AU,2021-03-05 00:23:30,-42.7826,147.0587,55.99,55,68,3.0
2,Deputatskiy,RU,2021-03-05 00:23:33,69.3,139.9,-23.78,84,100,10.89
3,Saint%20George,US,2021-03-05 00:21:02,37.1041,-113.5841,62.6,29,1,6.13
4,Kapaa,US,2021-03-05 00:22:03,22.0752,-159.319,72.0,78,75,19.57
5,Filingue,NE,2021-03-05 00:23:35,14.3521,3.3168,79.02,16,0,9.4
6,Elvas,PT,2021-03-05 00:23:37,38.8815,-7.1628,55.0,78,100,1.01
7,Guerrero%20Negro,MX,2021-03-05 00:23:04,27.9769,-114.0611,61.99,60,70,18.3
8,Ushuaia,AR,2021-03-05 00:19:56,-54.8,-68.3,57.2,44,40,10.36
9,Hilo,US,2021-03-05 00:19:02,19.7297,-155.09,78.8,53,1,9.22
10,Xam%20Nua,LA,2021-03-05 00:23:38,20.4197,104.0439,63.27,86,15,2.24
11,La%20Palma,US,2021-03-05 00:23:41,33.8464,-118.0467,66.99,59,20,9.22
12,East%20London,ZA,2021-03-05 00:23:42,-33.0153,27.9116,71.01,83,72,13.33
13,Uruana,BR,2021-03-05 00:23:42,-15.4981,-49.6875,70.21,86,96,2.13
14,Jamestown,US,2021-03-05 00:20:58,42.097,-79.2353,24.01,91,20,11.3
15,Saint-Philippe,RE,2021-03-05 00:23:44,-21.3585,55.7679,77.0,78,40,5.75
16,Lalibela,ET,2021-03-05 00:23:46,12.0333,39.0333,59.85,45,31,6.22
17,Iqaluit,CA,2021-03-05 00:23:48,63.7506,-68.5145,19.4,53,90,14.97
18,Puerto%20Ayora,EC,2021-03-05 00:20:38,-0.7393,-90.3518,75.99,98,49,4.45
19,Punta%20Arenas,CL,2021-03-05 00:23:22,-53.15,-70.9167,57.2,44,90,4.61
20,Arraial%20Do%20Cabo,BR,2021-03-05 00:23:49,-22.9661,-42.0278,78.8,78,40,13.8
21,Otjiwarongo,NA,2021-03-05 00:23:51,-20.4637,16.6477,62.49,55,0,5.23
22,Pisco,PE,2021-03-05 00:23:52,-13.7,-76.2167,75.2,78,0,16.11
23,Norman%20Wells,CA,2021-03-05 00:23:54,65.282,-126.8329,5.0,66,75,16.11
24,Bluff,NZ,2021-03-05 00:23:56,-46.6,168.3333,61.0,62,95,8.01
25,Edd,ER,2021-03-05 00:23:57,13.9297,41.6925,81.7,53,0,5.57
26,Selma,US,2021-03-05 00:24:01,36.5708,-119.6121,68.0,28,1,3.44
27,Lagoa,PT,2021-03-05 00:24:03,39.05,-27.9833,57.51,64,46,5.14
28,Rikitea,PF,2021-03-05 00:24:04,-23.1203,-134.9692,81.81,74,66,6.49
29,Albany,US,2021-03-05 00:20:45,42.6001,-73.9662,26.01,38,28,5.01
30,Severo-Kurilsk,RU,2021-03-05 00:24:06,50.6789,156.125,32.04,97,87,16.44
31,Hithadhoo,MV,2021-03-05 00:24:09,-0.6,73.0833,83.91,62,30,7.72
32,Yar-Sale,RU,2021-03-05 00:24:09,66.8333,70.8333,6.35,95,100,6.8
33,Chokurdakh,RU,2021-03-05 00:24:12,70.6333,147.9167,-9.58,90,100,22.73
34,Honningsvag,NO,2021-03-05 00:24:16,70.9821,25.9704,24.8,80,90,26.46
35,Juneau,US,2021-03-05 00:24:18,58.3019,-134.4197,42.8,70,75,9.22
36,Busselton,AU,2021-03-05 00:24:21,-33.65,115.3333,68.0,98,82,9.98
37,Cherskiy,RU,2021-03-05 00:24:22,68.75,161.3,-15.48,88,100,7.94
